005773,"I Can Teach You, But I Have to Charge",1149976832,"Mother: Look, milk comin' out of it!!<br />
Long Island woman: Seriously, when are you getting off?",M15 bus downtown,hannah g
005776,That's How She Got in That Lipliner Brawl,1149969632,"Little girl: Mom, can I have some water?<br />
Mom: Girl, don't <em>make</em> me open my purse, you don't know what'll come out.",Central Park,Michael
005775,What Did He Ever Do to Her?,1149962432,"Hipster girl: Hi, how are you?<br />
Dressy-casual guy: Hi, you look great!<br />
Hipster girl: Thanks. You look like you're from Oklahoma.","Makor/Steinhart Center, W 67th St",Alex
005778,"Ah, Childhood",1149955232,"Teenage gang chick with comb in hair: So, my momma sez, so, show me yo' socks, yo' shoes...no, the <em>inside</em> of yo' shoes...and she's like, take out this blade and this blade and this blade, and I'm like Yo, I need protection! And she's like Yo, you gots your comb and sht...How does she <em>know </em>this sht?","A train downtown, 145th st",
005774,Next Time Try It on a Goth Kid,1149948032,"Crazy old lady to young clerk: Whatsa matter, you don't like old ladies?  If I  was forty years younger, I would eat you up like an, like an apple. [to older clerk] C'mere gimme a kiss.  C'mon gimme a kiss.  What are you, scared? I'd have you laying out in my funeral parlour in a pine box. What do you think if we skinned the knish? They'll wrap you in sheet and ship you back to Yemen. You want to ride the bull with me? You'll decide you love America.","Grand & Bushwick, Williamsburg",
005772,She's Got a Nice Pair of Assets,1149940832,"Guy: Did you hear back from the modeling agency?<br />
Girl: Yeah, it was Foot Fetish Palace.  I have to call them back.<br />
Guy: Oh my god you're in porn?!  This is why we're friends.",20th between 8th & 9th,I'm just trying to get to the theatre
005771,"Jersey-Cute Is Blowout, French Tips, Clearly Implants",1149933632,"Girl #1: So my co-worker is kinda cute, kinda not. Like Jersey-cute. No offense.<br />
Girl #2: Jersey cute? <br />
Girl #1: Yeah, fake tan, big muscles, clearly injects.<br />
Girl #2: Oh, you mean Guido cute!<br />
Girl #1: Guido, yeah, that's the word I was looking for.",52nd & 3rd,Just Walking
005770,Only Three and a Half Months 'til Yom Kippur,1149926432,"Twentysomething Latina: I should give you the back of my hand for hiding that Wild Turkey behind your Bible.<br />
Fortysomething Latina: What's wrong with that? No one else saw.<br />
Twentysomething Latina: It's wrong and you know it. We've been lucky God's wrath hasn't punished us in 10 years.<br />
Fortysomething Latina: Yeah, it's been about 10 years since then.<br />
Twentysomething Latina: You really should go to confession, cleanse yourself and then you've got a fresh slate to go out and sin again.<br />
Fortysomething: I can't. I've run out of churches.",N train,Karith
005769,Soon to Be a McD-Cup,1149919232,"Thirtysomething mom on cell:  That boy of your is too fat.  [Pause]  Well, you keep<br />
feeding him hamburgers.  That's why he has titties.  He's an A-cup.",M15 bus,
005768,The Rockport Files,1149912032,"Suit: Do you see that guy?  He's wearing a suit and sneakers!<br />
Coffee vendor: Um...<br />
Suit: I can't believe that!  I really think guys like that should be lined up and shot on Broadway.",Broad & Wall St,alxie
005767,"She Said Stupid, Not Comatose",1149904832,"Teen girl #1: I am <em>so</em> in the mood to get drunk tonight...<br />
Teen girl #2: Yea! Tonight is such a good drunk night.<br />
Teen girl #1: I can't wait to be drunk!<br />
Teen girl #2: I can't wait to be stupid!<br />
Teen boy: You guys say that every night. And have I gotten into either of your pants? No.",Penn Station,
005766,Better Not Mention the Fleurs-de-Lis,1149897632,"Preteen girl #1: Hey, so they finally showed us how to draw different shapes. I can finally do clovers.<br />
Preteen girl #2: You fcking bitch, you never showed me how to draw hearts.",UA Sheepshead Bay,
005759,Not Guilty by Reason of Mango Madness,1149847232,"Teen ghetto chick: How many niggas was they? Like twelve? Do <em>not</em> tell James this sht, do not, 'cause he will be all ovah their asses and after he beat up the Snapple man and got arrested, he needs to stay away from that sht.","Downtown A train, 145th st",brainygirl
005756,They Almost Have the Votes for Statehood,1149832832,"Girl #1: Sht, West Nile virus is in the United States?<br />
Girl #2: Are you kidding me?<br />
Girl #1: I thought that sht was only in New Jersey!",Dean & Deluca,Luckily not a bridge and tunnel girl
005765,She Mixed It Into His Corn Flakes,1149890432,"Woman #1: ... So his mom taught him.<br />
Woman #2: His <em>mother</em> taught him.<br />
Woman #1: Yeah.<br />
Woman #2: To eat pussy?<br />
Woman #1: Yeah.<br />
Woman #2: That's disgusting!<br />
Woman #1: He's really good at it, though.",D train,
005761,Her People Love Fashion at a Bargain,1149883232,"Older woman: Excuse me, miss?<br />
Younger woman: Yeah?<br />
Older woman: Your veil, your burqa is very beautiful. I didn't know your people were allowed to wear it in bright colors.<br />
Younger woman: It's not a burqa, it's a poncho. I'm Jewish. It's for the rain. I got it at TJ Maxx.",53rd & 7th,Pam
005764,She's Thinking of The Pelican Briefs,1149876032,"Teenie girl: Omigod! Idea! Do you want to go rent a movie?<br />
Her much older boyfriend: Sure. Have you seen <em>The Firm</em>?<br />
Teenie girl: What is that, like a porno?","Hershey store, Times Square",Just wanted some gummy bears
005763,Every Long-Term Relationship Has Its Challenges,1149868832,"Amiable but very intoxicated hobo: I don't believe this, how long you been a seargent? <br />
World's weariest transit copy: Eight years Miquel, you drunken jackass.",Port Authority,
005762,So What's Your Secret?,1149861632,"Very fat guy: I've gained about 20 pounds since the last time you saw me.<br />
Skinny guy: Yeah, I'd like to talk to you about that.  When we're not on the subway, though, okay?",2 train,
005760,Maybe ThugLover12 Isn't the Best Alias for You,1149854432,"Queer #1: So when he showed up I was surprised because he was kinda gangsta.<br />
Queer #2: Ok, so what's wrong with that?<br />
Queer #1: Well, I guess I should have expected it because his profile said he was from the Bronx... but I mean you can still be from the Bronx and be Americanized.",Union Square East,
005752,Now He Tells Me,1149840032,"Guy #1 peeing in urinal moans loudly.<br />
Guy #2 peeing in urinal: You ok, man?<br />
Guy #1 peeing in urinal: God, I should have used a condom!","28th & 10th, Crobar",
